Feed,Publish_DT,Title,Summary,Author,Link
World,2022-01-06 20:43:00,"In ‘African Origin’ Show at Met, New Points of Light Across Cultures",Holdings from Ancient Egypt and sub-Saharan Africa come together in a masterpiece show. Now the Met should make clear how the wondrous works got here., ,https://www.nytimes.com/2022/01/06/arts/design/met-museum-african-origin-exhibit.html
Business,2022-01-06 20:54:00,Companies Donated Millions to Those Who Voted to Overturn Biden's Win,"One year after the Capitol riot, many businesses resumed corporate donations to lawmakers who voted against certifying the 2020 election.", ,https://www.nytimes.com/2022/01/06/us/politics/congress-corporate-donations-2020-election-overturn.html
Most Shared,2022-01-06 21:05:00,"Peter Bogdanovich, 82, Director Whose Career Was a Hollywood Drama, Dies","Within one decade, the ’70s, he was transformed from one of the most celebrated of filmmakers, notably for “The Last Picture Show,” into one of the most ostracized.", ,https://www.nytimes.com/2022/01/06/movies/peter-bogdanovich-dead.html
Business,2022-01-06 21:05:00,Kazakhstan’s Bitcoin Mining Industry Is Upended by Unrest,"After the country’s largest telecommunications company shut off internet access throughout the country on Wednesday, processing activity on Bitcoin plunged.", ,https://www.nytimes.com/2022/01/06/business/kazakhstan-bitcoin-mining.html
Politics,2022-01-06 21:06:00,Times Reporters Discuss Threats to American Democracy,"Our political journalists talked about the Republican push to restrict voting and seize control over elections, and how Democrats are responding.", ,https://www.nytimes.com/2022/01/06/us/politics/times-reporters-american-democracy.html
Homepage USA,2022-01-06 21:16:00,How Much Watching Time Do You Have This Weekend?,No running through the house with a pickle in your mouth: “The Righteous Gemstones” is back., ,https://www.nytimes.com/2022/01/06/arts/television/righteous-gemstones-season-2.html
World,2022-01-06 21:31:00,Ethics Adviser Rebukes Boris Johnson Over Downing Street Decorations,The adviser said it was “plainly unsatisfactory” that he was not told that Mr. Johnson had petitioned a prominent donor to arrange financing for the makeover of his apartment., ,https://www.nytimes.com/2022/01/06/world/europe/boris-johnson-ethics-britain-uk.html
Most Emailed,2022-01-06 21:44:00,Notes From the End of a Very Long Life by New York's Oldest,"With the death of Ruth Willig at 98, a Times series on a set of the oldest New Yorkers — chronicled over seven years in 21 articles — offers their lessons on living with loss.", ,https://www.nytimes.com/2022/01/06/nyregion/ruth-willig-oldest-new-yorkers.html
World,2022-01-06 21:44:00,Your Friday Briefing: Biden warns of threats to democracy,U.S. lawmakers commemorate last year’s attack on the Capitol., ,https://www.nytimes.com/2022/01/06/briefing/biden-january-6-kazakhstan.html
Politics,2022-01-06 21:52:00,Republicans and Democrats Come Together to Remember Senator Isakson on Jan. 6,"On a day that amplified political divisions, lawmakers from both parties gathered in an Atlanta church to honor one of the Senate’s great champions of bipartisanship.", ,https://www.nytimes.com/2022/01/06/us/politics/johnny-isakson-senate-memorial.html
Science,2022-01-06 21:54:00,"Scientists Endorse Covid Boosters, But to a Point","Everyone should get a booster shot. In the long run, though, doses every few months aren’t a viable public health strategy, scientists say.", ,https://www.nytimes.com/2022/01/06/health/covid-vaccines-boosters.html
Science,2022-01-06 22:11:00,Covid Treatments Including Paxlovid Are Rationed as Cases Spike,"Scarce supplies and surging Covid cases have caused health officials, hospitals, doctors and patients to scramble for pills and infusions.", ,https://www.nytimes.com/2022/01/06/business/covid-paxlovid-antibodies-omicron.html
Sports,2022-01-06 22:19:00,Antonio Brown Released by Buccaneers,"It was the receiver’s fourth departure from an N.F.L. team in four seasons, and perhaps the end to his career.", ,https://www.nytimes.com/2022/01/06/sports/football/antonio-brown-released-buccaneers.html
Homepage USA,2022-01-06 22:21:00,Will America Descend Into Another Civil War?,It’s hard to imagine. But so is democracy’s salvation., ,https://www.nytimes.com/2022/01/06/opinion/america-civil-war.html
Science,2022-01-06 22:26:00,"Women’s Periods May Be Late After Coronavirus Vaccination, Study Suggests",An analysis of thousands of menstrual records offers support for anecdotal reports of erratic cycles after shots., ,https://www.nytimes.com/2022/01/06/health/covid-vaccine-menstrual-cycles.html
Homepage USA,2022-01-06 22:26:00,Let Marjorie Taylor Greene Keep Her Social Media Accounts,We’ve ceded too much control over our speech to Big Tech., ,https://www.nytimes.com/2022/01/06/opinion/taylor-greene-twitter.html
World,2022-01-06 22:35:00,North Korea Defector Crosses DMZ Border Twice,Officials say a North Korean who crossed the DMZ in 2020 crossed it again to go back. His life in the South seems to have been one of poverty and isolation., ,https://www.nytimes.com/2022/01/06/world/asia/north-korea-defector-dmz.html
Homepage USA,2022-01-06 22:35:00,A School Won 92-4 in Basketball. Then the Coach Was Suspended.,"Sacred Heart Academy, a Catholic high school for girls in Hamden, Conn., said that running up the score against Lyman Hall High School did not mesh with its values.", ,https://www.nytimes.com/2022/01/06/nyregion/connecticut-high-school-girls-basketball-coach.html
Sports,2022-01-06 22:54:00,Mets Hire Eric Chavez as Hitting Coach,"Eric Chavez was named an assistant hitting coach for the Yankees just last month, but he will move across town to guide Mets hitters instead.", ,https://www.nytimes.com/2022/01/06/sports/baseball/eric-chavez-mets.html
Technology,2022-01-06 23:10:00,Lawsuit says Meta shares blame in the killing of a federal guard.,A lawsuit argued that individuals who sought to harm law enforcement officers were able to connect with one another on Facebook., ,https://www.nytimes.com/2022/01/06/technology/meta-facebook-lawsuit-security-guard.html
Climate,2022-01-06 23:23:00,Virginia Democrats Aim to Block Trump’s E.P.A. Chief From State Agency,"In Virginia, cabinet nominees are rarely blocked. But the Republican governor-elect’s choice of Andrew Wheeler to be natural resources secretary has alarmed Democrats.", ,https://www.nytimes.com/2022/01/06/climate/andrew-wheeler-virginia.html
World,2022-01-06 23:36:00,Xi'an Is China's Biggest Covid Challenge Since Wuhan,"Xi’an, a city of 13 million people, has been on lockdown since Dec. 22, the longest in the country since the early days of the outbreak in Wuhan.", ,https://www.nytimes.com/2022/01/06/world/asia/china-xian-lockdown-covid.html
Business,2022-01-07 00:00:00,Un país entero exige hablar con el gerente,"En tiempos de enojo y frustración, las personas se comportan como niños haciendo pataletas cada vez que enfrentan pequeñas decepciones al comprar o viajar.", ,https://www.nytimes.com/es/2022/01/06/espanol/servicio-cliente-pandemia.html
Homepage USA,2022-01-07 00:00:00,The Economic Case for Goldilocks,"In 2021, policymakers actually got it mostly right.", ,https://www.nytimes.com/2022/01/06/opinion/inflation-unemployment-economy-growth.html
Homepage USA,2022-01-07 00:00:00,Democrats Are Failing to Defend Democracy,They need to get busy at the grassroots., ,https://www.nytimes.com/2022/01/06/opinion/democrats-fail-defending-democracy.html
Politics,2022-01-07 00:04:00,Former Biden Advisers Urge a Pandemic Strategy for the ‘New Normal’,"In a striking critique, six prominent health experts who advised President Biden’s transition team called for an entirely new domestic coronavirus strategy.", ,https://www.nytimes.com/2022/01/06/us/politics/former-biden-advisers-pandemic-strategy.html
Politics,2022-01-07 00:06:00,Republicans Avoid Jan. 6 Observances at the Capitol,Elected Republicans stayed away from the Capitol during a day of solemn remembrance on the anniversary of the attack carried out by supporters of former President Donald J. Trump., ,https://www.nytimes.com/2022/01/06/us/politics/republicans-jan-6-observances.html
USA,2022-01-07 00:08:00,"Ex-United Flight Attendant Used Dead Child’s Identity, Officials Say","Ricardo Cesar Guedes used the name of a boy who died in a car accident in 1979 to get his airline job and a U.S. passport, according to a criminal complaint.", ,https://www.nytimes.com/2022/01/06/us/united-flight-attendant-stolen-identity.html
Most Shared,2022-01-07 00:19:00,Here’s When We Expect Omicron to Peak,An epidemic modeler explains why cases of the variant will peak in the U.S. in January., ,https://www.nytimes.com/2022/01/06/opinion/omicron-covid-us.html
Technology,2022-01-07 00:31:00,"Google Infringed on Sonos Speaker Technology, Trade Court Rules","The company will not be allowed to import products that infringe on Sonos patents, including smart speakers, video streaming devices, and some computers and phones.", ,https://www.nytimes.com/2022/01/06/technology/google-sonos-patents.html
Politics,2022-01-07 00:45:00,Will Cuomo Try to Make a Comeback?,Recent decisions by prosecutors to not pursue criminal charges against ex-Gov. Andrew Cuomo may fuel his interest in re-entering public life., ,https://www.nytimes.com/2022/01/06/us/politics/cuomo-charges-future-resignation.html
USA,2022-01-07 00:54:00,"‘I Have Absolutely Nothing’: After a Massive Winter Fire, What Is Left?","Families whose homes were left in ashes when the Marshall fire swept around Boulder, Colo., now face starting over again in a housing market that was competitive even before hundreds of homes were destroyed.", ,https://www.nytimes.com/2022/01/06/us/colorado-marshall-fire-survivors.html
USA,2022-01-07 01:00:00,"Ohio Officer Shoots Through Fence, Killing a Man Who Was Firing a Gun","Body-camera footage shows an officer in Canton, Ohio, firing through a wooden fence, killing James R. Williams, 46, as he fired shots just after the start of the New Year.", ,https://www.nytimes.com/2022/01/06/us/canton-police-nye-shooting.html
