Feed,Publish_DT,Title,Summary,Author,Link
World,2021-12-23 08:32:00,China orders lockdown of up to 13 million people in Xi'an, , ,https://timesofindia.indiatimes.com/world/china/china-orders-lockdown-of-up-to-13-million-people-in-xian/articleshow/88444063.cms
Cricket,2021-12-23 09:31:00,'Hurting' England haven't given up on the Ashes: Malan, , ,https://timesofindia.indiatimes.com/sports/cricket/news/hurting-england-havent-given-up-on-the-ashes-says-dawid-malan/articleshow/88444792.cms
Business,2021-12-23 09:38:00,Intel China says it is deeply apologetic over Xinjiang statement, , ,https://timesofindia.indiatimes.com/business/international-business/intel-china-says-it-is-deeply-apologetic-over-xinjiang-statement/articleshow/88444926.cms
Entertainment,2021-12-23 09:50:00,8 gorgeous pictures of Krithi Shetty, , ,https://timesofindia.indiatimes.com/entertainment/telugu/web-stories/8-gorgeous-pictures-of-krithi-shetty-to-flip-through/photostory/88436456.cms
Business,2021-12-23 10:30:00,'Omicron may double risk of getting infected on planes', , ,https://timesofindia.indiatimes.com/business/international-business/omicron-may-double-risk-of-getting-infected-on-planes-iata-says/articleshow/88445617.cms
Cricket,2021-12-23 10:36:00,Justin Langer may seek extension of contract with Cricket Australia, , ,https://timesofindia.indiatimes.com/sports/cricket/news/justin-langer-may-seek-extension-of-contract-with-cricket-australia/articleshow/88445861.cms
World,2021-12-23 10:55:00,Imran Khan's misogynist remarks targets Afghan women, , ,https://timesofindia.indiatimes.com/world/pakistan/imran-khans-misogynist-remarks-targets-afghan-women/articleshow/88446263.cms
Business,2021-12-23 10:59:00,Medplus shares list with nearly 31% premium, , ,https://timesofindia.indiatimes.com/business/markets/ipo/medplus-shares-list-with-nearly-31-premium/articleshow/88446346.cms
Life And Style,2021-12-23 11:00:00,Is COVID third wave a possibility for India?, , ,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-is-there-a-possibility-of-a-third-wave-hitting-india-we-weigh-in/photostory/88433659.cms
Auto,2021-12-23 11:22:00,"Triumph Motorcycles launches new range of Gold Line, Special Edition bikes in India", , ,https://timesofindia.indiatimes.com/auto/news/triumph-motorcycles-launches-new-range-of-gold-line-special-edition-bikes-in-india/articleshow/88446868.cms
World,2021-12-23 11:52:00,UN passes resolution over easing financial restrictions on Afghanistan, , ,https://timesofindia.indiatimes.com/world/south-asia/un-passes-resolution-over-easing-financial-restrictions-on-afghanistan/articleshow/88447387.cms
Sports,2021-12-23 12:22:00,Top 5 Indian wicket takers vs South Africa in current squad, , ,https://timesofindia.indiatimes.com/sports/cricket/india-in-south-africa/india-vs-south-africa-top-5-indian-wicket-takers-vs-sa-in-current-squad/articleshow/88447927.cms
World,2021-12-23 12:38:00,US weapons exports decreased 21% in 2021, , ,https://timesofindia.indiatimes.com/world/us/us-weapons-exports-decreased-21-to-138-2-billion-in-fiscal-2021/articleshow/88448257.cms
