Feed,Publish_DT,Title,Summary,Author,Link
World,2022-01-13 11:07:00,Israel says it broke up Iranian spy network that recruited women,Four Israeli Jewish women of Iranian descent were allegedly paid thousands of dollars by a handler., ,https://www.bbc.co.uk/news/world-middle-east-59977916?at_medium=RSS&at_campaign=KARANGA
Health,2022-01-13 11:19:00,Hospital waiting lists hit six million in England,One in 20 has been waiting - for routine care such as knee and hip surgery - for more than a year., ,https://www.bbc.co.uk/news/health-59972628?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 11:44:00,"Boris Johnson mocking system, Covid-breach mayor says",A former Blackburn mayor who quit after breaking Covid rules calls on Boris Johnson to do the same., ,https://www.bbc.co.uk/news/uk-england-lancashire-59979985?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 11:47:00,Jacob Rees-Mogg calls Scottish Tory leader a 'lightweight',"The minister says Boris Johnson is supported by more ""important"" MPs than Douglas Ross.", ,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-59978733?at_medium=RSS&at_campaign=KARANGA
Health,2022-01-13 11:53:00,Jonathan Van-Tam: JVT's most memorable Covid advice and analogies,"Watch the best bits from England's deputy chief medical officer, who's announced he's stepping down.", ,https://www.bbc.co.uk/news/uk-59977568?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 12:03:00,Wes Streeting on Johnson at Downing Street lockdown party,"Boris Johnson is the ""most untrustworthy politician"" ever from any party says Labour's health spokesman.", ,https://www.bbc.co.uk/news/uk-politics-59982112?at_medium=RSS&at_campaign=KARANGA
Technology,2022-01-13 12:27:00,CES 2022: Dog facial recognition and smart taps,Chris Fox tries out some of the gadgets on display at the convention's area for start-ups., ,https://www.bbc.co.uk/news/technology-59968899?at_medium=RSS&at_campaign=KARANGA
World,2022-01-13 12:30:00,Novak Djokovic in Australian Open draw despite visa uncertainty,The defending champion is in the draw even though authorities are still deciding whether to deport him., ,https://www.bbc.co.uk/news/world-australia-55760672?at_medium=RSS&at_campaign=KARANGA
Health,2022-01-13 12:32:00,Covid-19: France to relax travel rules from the UK,"Vaccinated travellers will no longer need a compelling reason to enter France, or have to isolate.", ,https://www.bbc.co.uk/news/world-europe-59977978?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 12:48:00,Jacob Rees-Mogg: Covid inquiry must look at whether rules were too tough,"The Commons leader says a future pandemic inquiry should look at whether lockdowns were ""proportionate"".", ,https://www.bbc.co.uk/news/uk-politics-59981890?at_medium=RSS&at_campaign=KARANGA
World,2022-01-13 12:59:00,Covid: Half of France's schools could close as teachers strike,About 75% of primary teachers are expected to strike as they complain about confusing testing rules., ,https://www.bbc.co.uk/news/world-europe-59978138?at_medium=RSS&at_campaign=KARANGA
Health,2022-01-13 13:00:00,Covid isolation period cut to five full days in England - Javid,Health Secretary Sajid Javid says people in England can end isolation after two negative tests on day six., ,https://www.bbc.co.uk/news/uk-politics-59977571?at_medium=RSS&at_campaign=KARANGA
Business,2022-01-13 13:06:00,Marks & Spencer: Midget Gems change name after academic's campaign,A Liverpool disability academic told M&amp;S the word midget has its roots in Victorian freak shows., ,https://www.bbc.co.uk/news/uk-england-merseyside-59981811?at_medium=RSS&at_campaign=KARANGA
UK,2022-01-13 13:20:00,Nelson man killed daughter's mother-in-law over marriage feud,"Axe-wielding Mohammad Malik ""launched an attack of unsparing violence"", police say.", ,https://www.bbc.co.uk/news/uk-england-lancashire-59974792?at_medium=RSS&at_campaign=KARANGA
Health,2022-01-13 13:25:00,Jonathan Van-Tam to leave role as deputy chief medical officer,The professor's colourful analogies helped explain coronavirus during Downing Street news briefings., ,https://www.bbc.co.uk/news/uk-59979504?at_medium=RSS&at_campaign=KARANGA
UK,2022-01-13 13:34:00,Energy bills: Ministers approve one-off £200 support payment,"Communities Minister Deirdre Hargey proposed the scheme to help about 280,000 people in NI.", ,https://www.bbc.co.uk/news/uk-northern-ireland-59972848?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 13:38:00,Brexit: Liz Truss aims for 'reset' as UK-EU protocol talks resume,The foreign secretary will act as the UK's lead negotiator for the first time since taking the role., ,https://www.bbc.co.uk/news/uk-northern-ireland-59971172?at_medium=RSS&at_campaign=KARANGA
Entertainment and Arts,2022-01-13 13:49:00,Covid: Folk music legends Carthy family appeal for pandemic help,Eliza Carthy says her family - known throughout folk music circles - is struggling amid the pandemic., ,https://www.bbc.co.uk/news/uk-england-york-north-yorkshire-59979164?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 13:59:00,Peter Bone: MP's office vandalised for second time,"A photo from Peter Bone, MP for Wellingborough, shows the word ""liar"" painted on his office windows.", ,https://www.bbc.co.uk/news/uk-england-northamptonshire-59983184?at_medium=RSS&at_campaign=KARANGA
Top Stories,2022-01-13 14:01:00,UK Sport reveals medal hopes for Winter Olympics,UK Sport believes Great Britain can win between three to seven medals at the Winter Olympics and five to nine medals at the Winter Paralympics., ,https://www.bbc.co.uk/sport/winter-olympics/59981942?at_medium=RSS&at_campaign=KARANGA
Technology,2022-01-13 14:06:00,Kylie Jenner becomes first woman with 300 million Instagram followers,"Ariana Grande, previously the app's most popular woman, is now tied in second place with Selena Gomez.", ,https://www.bbc.co.uk/news/technology-59979648?at_medium=RSS&at_campaign=KARANGA
World,2022-01-13 14:18:00,Kenya Power in the spotlight after nationwide blackout,"Kenyans spent several hours with electricity this week, what are the underlying causes?", ,https://www.bbc.co.uk/news/world-africa-59980405?at_medium=RSS&at_campaign=KARANGA
World,2022-01-13 14:29:00,German court finds Syrian colonel guilty of crimes against humanity,The trial of Anwar Raslan was the world's first criminal case over state-led torture in Syria., ,https://www.bbc.co.uk/news/world-europe-59949924?at_medium=RSS&at_campaign=KARANGA
Top Stories,2022-01-13 14:31:00,Chris Wood: Newcastle sign New Zealand striker from Burnley for £25m,New Zealand striker Chris Wood becomes Newcastle's second signing of the January transfer window., ,https://www.bbc.co.uk/sport/football/59978551?at_medium=RSS&at_campaign=KARANGA
UK,2022-01-13 14:31:00,Covid: Wales possibly coming to peak says minister,Eluned Morgan's comments come as the Welsh government reviews restrictions imposed in December., ,https://www.bbc.co.uk/news/uk-wales-politics-59979492?at_medium=RSS&at_campaign=KARANGA
UK,2022-01-13 14:37:00,"Prince Andrew accuser unlikely to accept money settlement alone, says lawyer",Virginia Giuffre has accused Prince Andrew of sexual assault - claims he has consistently denied., ,https://www.bbc.co.uk/news/uk-59977517?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 14:46:00,Jacob Rees-Mogg fails to name Andrew RT Davies,Senior UK government figure Jacob Rees-Mogg declined to name Mr Davies as the leader., ,https://www.bbc.co.uk/news/uk-wales-59985517?at_medium=RSS&at_campaign=KARANGA
Top Stories,2022-01-13 14:52:00,Obese Cheshire dog gets new home and sheds five stone,Philip the springer spaniel was at risk of being put to sleep after munching on cakes and biscuits., ,https://www.bbc.co.uk/news/uk-england-manchester-59982345?at_medium=RSS&at_campaign=KARANGA
Entertainment and Arts,2022-01-13 15:02:00,"Coachella 2022: Kanye West, Billie Eilish and Harry Styles to headline","Kanye West, Billie Eilish and Harry Styles will headline the Californian festival.", ,https://www.bbc.co.uk/news/newsbeat-59982400?at_medium=RSS&at_campaign=KARANGA
Entertainment and Arts,2022-01-13 15:04:00,BBC TV should play national anthem at closedown says MP,"The BBC should be “proud of our country” and bring back playing God Save the Queen at night, says Andrew Rosindell.", ,https://www.bbc.co.uk/news/uk-politics-59966111?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 15:06:00,"Chinese agent infiltrating Parliament, MI5 warns",The rare alert sent to MPs comes after a long-running investigation into Christine Ching Kui Lee., ,https://www.bbc.co.uk/news/uk-politics-59984380?at_medium=RSS&at_campaign=KARANGA
Top Stories,2022-01-13 15:14:00,"Ashling Murphy: Victim did not know her killer, detectives believe","Ashling Murphy, 23, was attacked on the banks of a canal in County Offaly on Wednesday afternoon.", ,https://www.bbc.co.uk/news/world-europe-59977432?at_medium=RSS&at_campaign=KARANGA
World,2022-01-13 15:37:00,The puzzle of America's record Covid hospital rate,Europe has fewer Covid patients in hospital now. Why are the US and Canada bucking the Omicron trend?, ,https://www.bbc.co.uk/news/world-us-canada-59960949?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 15:39:00,"Prime minister's apology was 'heartfelt', says cabinet colleague",International Trade Secretary Anne-Marie Trevelyan has said she thinks the prime minister should stay., ,https://www.bbc.co.uk/news/uk-politics-59979004?at_medium=RSS&at_campaign=KARANGA
Top Stories,2022-01-13 15:49:00,Quiz of the week: Why was a rat awarded a medal?,How closely have you been paying attention to what's been going on during the past seven days?, ,https://www.bbc.co.uk/news/world-59949809?at_medium=RSS&at_campaign=KARANGA
Business,2022-01-13 16:00:00,French holiday bookings surge after rule change,"The easing of French travel restrictions has led to an immediate increase in holiday bookings, operators say.", ,https://www.bbc.co.uk/news/business-59972439?at_medium=RSS&at_campaign=KARANGA
Politics,2022-01-13 16:02:00,Downing Street party: Who is Sue Gray and what is she investigating?,Tory MPs have been urged to wait for the civil servant's report before passing judgement on Boris Johnson., ,https://www.bbc.co.uk/news/uk-politics-59979023?at_medium=RSS&at_campaign=KARANGA
Technology,2022-01-13 16:15:00,Twitter agrees to Nigeria's demands to end seven-month ban,"Following a seven-month ban, the micro-blogging site will register in Nigeria and pay tax locally.", ,https://www.bbc.co.uk/news/world-africa-59958417?at_medium=RSS&at_campaign=KARANGA
Top Stories,2022-01-13 16:18:00,The 86-year-old runner who refuses to slow down,"Tony Bowman, who has had two heart attacks, is aiming to run the 100m when he's 100 years old.", ,https://www.bbc.co.uk/news/uk-england-leeds-59985671?at_medium=RSS&at_campaign=KARANGA
Science and Environment,2022-01-13 16:19:00,Durham University fibre-optics help largest 3D map of Universe,Their Dark Energy Spectroscopic Instrument has already broken all records for 3D galaxy surveys., ,https://www.bbc.co.uk/news/uk-england-tyne-59974215?at_medium=RSS&at_campaign=KARANGA
UK,2022-01-13 16:21:00,Boris Johnson party row: Public 'made fools of' - man fined for gathering,Kieron McArdle was fined £100 by police for having three friends in his garden on his birthday., ,https://www.bbc.co.uk/news/uk-59986522?at_medium=RSS&at_campaign=KARANGA
Business,2022-01-13 16:26:00,Ovo Energy tells staff it will cut a quarter of its workforce,The country's third largest energy provider is making cuts related its acquisition of SSE in 2019., ,https://www.bbc.co.uk/news/business-59977152?at_medium=RSS&at_campaign=KARANGA
Technology,2022-01-13 16:36:00,Largest darknet stolen credit card site closes,The anonymous owners of UniCC are retiring after making an estimated $358m (£260m) since 2013., ,https://www.bbc.co.uk/news/technology-59983950?at_medium=RSS&at_campaign=KARANGA
Business,2022-01-13 16:54:00,UK and India launch trade talks 'worth billions',Britain says a deal could be worth billions of pounds and almost double exports to India by 2035., ,https://www.bbc.co.uk/news/business-59972444?at_medium=RSS&at_campaign=KARANGA
UK,2022-01-13 17:11:00,Covid self-isolation in England being cut to five full days,People will be able to end isolation after negative tests on days five and six from Monday., ,https://www.bbc.co.uk/news/uk-59980505?at_medium=RSS&at_campaign=KARANGA
Technology,2022-01-13 17:53:00,Apple removes Wordle clones from App Store,"The viral word puzzle, which pledged to remain free, is facing competition from apps.", ,https://www.bbc.co.uk/news/technology-59980699?at_medium=RSS&at_campaign=KARANGA
World,2022-01-13 18:06:00,Novak Djokovic and the unanswered questions,Novak Djokovic is facing a number of questions over his activities after testing positive for Covid., ,https://www.bbc.co.uk/news/world-australia-59977198?at_medium=RSS&at_campaign=KARANGA
